round,date,mahalanobis
1,2019-01-02,2.8857
1,2019-01-03,2.6048
1,2019-01-04,1.8915
1,2019-01-07,9.2744
1,2019-01-09,1.694
1,2019-01-10,0.7105
1,2019-01-11,0.5309
1,2019-01-14,0.6752
1,2019-01-15,0.6663
1,2019-01-16,0.547
1,2019-01-17,0.6979
1,2019-01-18,0.5472
1,2019-01-21,0.5425
1,2019-01-22,0.6553
1,2019-01-23,0.5458
1,2019-01-24,0.5246
1,2019-01-25,0.4769
1,2019-01-28,0.7374
1,2019-01-29,0.7487
1,2019-01-30,2.9376
1,2019-01-31,2.2465
1,2019-02-01,0.7566
1,2019-02-07,0.5234
1,2019-02-08,0.567
1,2019-02-11,0.5791
1,2019-02-12,0.5806
1,2019-02-13,1.2908
1,2019-02-14,1.499
1,2019-02-15,0.4431
1,2019-02-18,0.334
1,2019-02-19,0.9717
1,2019-02-20,0.5868
1,2019-02-21,0.43
1,2019-02-22,0.3394
1,2019-02-25,0.545
1,2019-02-26,0.477
1,2019-02-27,0.4334
1,2019-02-28,1.1755
1,2019-03-04,0.7283
1,2019-03-05,0.5432
1,2019-03-06,0.443
1,2019-03-07,0.441
1,2019-03-08,0.8769
1,2019-03-11,0.9788
1,2019-03-12,0.8879
1,2019-03-13,0.5703
1,2019-03-14,0.5463
1,2019-03-15,0.1824
1,2019-03-18,0.2537
1,2019-03-19,0.1482
1,2019-03-20,0.2905
1,2019-03-21,0.2405
1,2019-03-22,0.2539
1,2019-03-25,1.4232
1,2019-03-26,0.5686
1,2019-03-27,0.4923
1,2019-03-28,0.6401
1,2019-03-29,0.5183
1,2019-04-01,0.3196
1,2019-04-02,0.2051
1,2019-04-03,0.0992
1,2019-04-04,0.1865
1,2019-04-05,0.0335
1,2019-04-08,0.2649
1,2019-04-09,0.4247
1,2019-04-10,7.19
1,2019-04-11,0.5241
1,2019-04-12,0.4752
1,2019-04-15,0.3465
1,2019-04-16,0.3847
1,2019-04-17,0.3709
1,2019-04-18,0.3015
1,2019-04-19,0.4902
1,2019-04-22,0.3361
1,2019-04-23,0.3492
1,2019-04-24,0.2791
1,2019-04-25,0.2731
1,2019-04-26,0.2371
1,2019-04-29,0.1826
1,2019-04-30,0.1124
1,2019-05-02,0.2701
1,2019-05-03,0.0766
1,2019-05-07,0.8343
1,2019-05-08,1.4966
1,2019-05-09,2.0278
1,2019-05-10,2.504
1,2019-05-13,2.2498
1,2019-05-14,4.8028
1,2019-05-15,1.3251
1,2019-05-16,1.3098
1,2019-05-17,1.2954
1,2019-05-20,1.0144
1,2019-05-21,0.9286
1,2019-05-22,1.2372
1,2019-05-23,1.32
1,2019-05-24,1.43
1,2019-05-27,1.7953
1,2019-05-28,1.4844
1,2019-05-29,1.9037
1,2019-05-30,2.0213
1,2019-05-31,2.3537
1,2019-06-03,1.6189
1,2019-06-04,1.6996
1,2019-06-05,2.5038
1,2019-06-07,1.2445
1,2019-06-10,0.9382
1,2019-06-11,0.5651
1,2019-06-12,0.6268
1,2019-06-13,0.5819
1,2019-06-14,0.4827
1,2019-06-17,0.5472
1,2019-06-18,0.4364
1,2019-06-19,0.3772
1,2019-06-20,0.4174
1,2019-06-21,0.1334
1,2019-06-24,0.2539
1,2019-06-25,0.259
1,2019-06-26,0.2247
1,2019-06-27,0.1812
1,2019-06-28,0.5182
1,2019-07-01,0.3077
1,2019-07-02,0.3284
1,2019-07-03,0.0678
1,2019-07-04,0.2284
1,2019-07-05,0.155
1,2019-07-08,0.8938
1,2019-07-09,0.3863
1,2019-07-10,0.5052
1,2019-07-11,0.4398
1,2019-07-12,0.6609
1,2019-07-15,0.2374
1,2019-07-16,0.4561
1,2019-07-17,0.3036
1,2019-07-18,0.4366
1,2019-07-19,0.3897
1,2019-07-22,0.318
1,2019-07-23,0.2941
1,2019-07-24,0.3471
1,2019-07-25,0.3341
1,2019-07-26,0.3991
1,2019-07-29,0.8876
1,2019-07-30,0.6131
1,2019-07-31,0.8223
1,2019-08-01,0.7222
1,2019-08-02,1.3696
1,2019-08-05,2.3685
1,2019-08-06,3.5622
1,2019-08-07,3.0852
1,2019-08-08,1.2569
1,2019-08-09,1.2149
1,2019-08-12,0.9264
1,2019-08-13,3.5007
1,2019-08-14,2.4136
1,2019-08-16,2.3383
1,2019-08-19,1.695
1,2019-08-20,1.5884
1,2019-08-21,0.7365
1,2019-08-22,0.7335
1,2019-08-23,0.9337
1,2019-08-26,3.5858
1,2019-08-27,2.0591
1,2019-08-28,1.2733
1,2019-08-29,1.5679
1,2019-08-30,1.7271
1,2019-09-02,1.2433
1,2019-09-03,1.4283
1,2019-09-04,1.2498
1,2019-09-05,1.0473
1,2019-09-06,0.5568
1,2019-09-09,0.3681
1,2019-09-10,0.5274
1,2019-09-11,0.0576
1,2019-09-16,0.6881
1,2019-09-17,0.5102
1,2019-09-18,0.5453
1,2019-09-19,0.4358
1,2019-09-20,0.2498
1,2019-09-23,0.6766
1,2019-09-24,0.4984
1,2019-09-25,1.232
1,2019-09-26,0.7914
1,2019-09-27,0.576
1,2019-09-30,0.7524
1,2019-10-01,0.6022
1,2019-10-02,1.3817
1,2019-10-04,1.3495
1,2019-10-07,1.1603
1,2019-10-08,1.1982
1,2019-10-10,0.9503
1,2019-10-11,0.8442
1,2019-10-14,0.471
1,2019-10-15,0.2973
1,2019-10-16,0.2867
1,2019-10-17,0.0932
1,2019-10-18,0.3329
1,2019-10-21,0.1371
1,2019-10-22,0.4228
1,2019-10-23,0.15
1,2019-10-24,0.137
1,2019-10-25,0.1365
1,2019-10-28,0.1486
1,2019-10-29,0.0678
1,2019-10-30,0.2691
1,2019-10-31,0.1248
1,2019-11-01,0.2183
1,2019-11-04,0.1085
1,2019-11-05,0.082
1,2019-11-06,0.3253
1,2019-11-07,0.1154
1,2019-11-08,0.1185
1,2019-11-11,0.4084
1,2019-11-12,0.3071
1,2019-11-13,0.1973
1,2019-11-14,0.219
1,2019-11-15,0.2264
1,2019-11-18,0.1518
1,2019-11-19,0.1139
1,2019-11-20,0.4449
1,2019-11-21,0.5237
1,2019-11-22,0.4006
1,2019-11-25,0.1715
1,2019-11-26,0.364
1,2019-11-27,0.2329
1,2019-11-28,0.1071
1,2019-11-29,0.2326
1,2019-12-02,0.1888
1,2019-12-03,0.3833
1,2019-12-04,0.3772
1,2019-12-05,0.4671
1,2019-12-06,0.408
1,2019-12-09,0.1494
1,2019-12-10,0.1533
1,2019-12-11,0.0747
1,2019-12-12,0.0576
1,2019-12-13,0.2105
1,2019-12-16,0.1393
1,2019-12-17,0.2231
1,2019-12-18,0.218
1,2019-12-19,0.1728
1,2019-12-20,0.1939
1,2019-12-23,0.5376
1,2019-12-24,0.1386
1,2019-12-26,0.3558
1,2019-12-27,0.2595
1,2019-12-30,0.6486
2,2020-01-02,0.8104
2,2020-01-03,0.9298
2,2020-01-06,0.8181
2,2020-01-07,0.7649
2,2020-01-08,1.1351
2,2020-01-09,1.4731
2,2020-01-10,0.4743
2,2020-01-13,0.2614
2,2020-01-14,0.1499
2,2020-01-15,0.1472
2,2020-01-16,0.1216
2,2020-01-17,0.0629
2,2020-01-20,0.0539
2,2020-01-21,0.4719
2,2020-01-22,0.2092
2,2020-01-23,0.881
2,2020-01-28,1.7554
2,2020-01-29,1.2445
2,2020-01-30,1.7784
2,2020-01-31,3.0261
2,2020-02-03,2.1376
2,2020-02-04,2.9629
2,2020-02-05,2.0162
2,2020-02-06,1.5595
2,2020-02-07,2.2523
2,2020-02-10,1.717
2,2020-02-11,1.815
2,2020-02-12,1.2291
2,2020-02-13,1.1826
2,2020-02-14,1.2355
2,2020-02-17,1.4755
2,2020-02-18,1.7285
2,2020-02-19,1.8009
2,2020-02-20,1.7509
2,2020-02-21,4.2876
2,2020-02-24,4.2762
2,2020-02-25,3.4803
2,2020-02-26,4.389
2,2020-02-27,5.0247
2,2020-02-28,7.7305
2,2020-03-02,7.2731
2,2020-03-03,6.0875
2,2020-03-04,5.0502
2,2020-03-05,3.9376
2,2020-03-06,5.3114
2,2020-03-09,8.6563
2,2020-03-10,8.0958
2,2020-03-11,9.1527
2,2020-03-12,11.2508
2,2020-03-13,15.3914
2,2020-03-16,19.5025
2,2020-03-17,19.4934
2,2020-03-18,18.8476
2,2020-03-19,21.3074
2,2020-03-20,18.0687
2,2020-03-23,18.7252
2,2020-03-24,15.4043
2,2020-03-25,13.6798
2,2020-03-26,14.9785
2,2020-03-27,15.6969
2,2020-03-30,15.7815
2,2020-03-31,13.3913
2,2020-04-01,13.9224
2,2020-04-02,12.8755
2,2020-04-03,12.143
2,2020-04-06,9.4611
2,2020-04-07,8.6145
2,2020-04-08,10.0923
2,2020-04-09,8.4075
2,2020-04-10,8.4848
2,2020-04-13,9.9541
2,2020-04-14,8.5875
2,2020-04-16,8.1021
2,2020-04-17,6.8304
2,2020-04-20,7.4985
2,2020-04-21,8.741
2,2020-04-22,8.759
2,2020-04-23,7.9706
2,2020-04-24,9.1292
2,2020-04-27,8.2372
2,2020-04-28,7.278
2,2020-04-29,6.4604
