threshold,gated_avg_sharpe
0.7947,0.9383
0.8654,1.1471
0.936,1.244
1.0067,1.37
1.0774,1.37
1.1481,1.37
1.2188,1.37
1.2895,1.37
1.3602,1.1365
1.4308,1.1365
1.5015,1.1365
1.5722,1.1365
1.6429,1.1365
1.7136,1.1365
1.7843,1.1365
1.855,1.1365
1.9256,1.1365
1.9963,1.1365
2.067,1.1365
2.1377,1.1365
2.2084,1.1365
2.2791,1.1365
2.3498,1.1365
2.4205,1.1365
2.4911,1.2504
2.5618,1.2504
2.6325,1.2504
2.7032,1.2504
2.7739,1.2504
2.8446,1.2504
2.9153,1.2504
2.9859,1.2504
3.0566,1.2504
3.1273,1.2504
3.198,1.2504
3.2687,1.2504
3.3394,1.2504
3.4101,1.2504
3.4807,1.2504
3.5514,1.2504
3.6221,1.2504
3.6928,1.2504
3.7635,1.2504
3.8342,1.2504
3.9049,1.2504
3.9756,1.2504
4.0462,1.2504
4.1169,1.2504
4.1876,1.2504
4.2583,1.2504
4.329,1.185
4.3997,1.185
4.4704,1.185
4.541,1.185
4.6117,1.185
4.6824,1.185
4.7531,1.185
4.8238,1.185
4.8945,1.185
4.9652,1.1616
